Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
POST login,100,469,387,1090,104.97,0.000%,1.67574,1.14,0.46,696.0
GET user-list,100,69,59,110,9.40,0.000%,1.70616,9.26,0.84,5558.3
GET search-user-by-email,100,63,51,324,31.96,0.000%,1.70663,0.69,0.89,413.0
GET search-user-by-id,100,63,52,199,18.04,0.000%,1.70681,1.05,0.86,630.0
 GET balance-check,100,59,51,96,7.77,0.000%,1.70701,0.56,0.97,336.9
 POST user-create,100,394,56,911,86.81,1.000%,1.72467,0.87,1.33,517.2
 GET transaction-history,100,78,63,172,14.96,0.000%,1.73554,11.58,1.01,6833.6
GET transaction-details ,100,61,50,197,16.55,0.000%,1.73674,1.05,0.98,622.0
Debug Sampler,100,0,0,2,0.43,0.000%,1.73928,1.40,0.00,821.6
 POST deposit-system-to-agent,100,75,63,178,16.97,0.000%,1.73683,0.60,1.20,355.0
withdraw-customer-to-agent,100,77,63,135,13.50,0.000%,1.73771,0.59,1.21,345.0
POST send-money-customer-to-customer,100,88,67,168,12.95,0.000%,1.73913,0.60,1.21,351.9
POST payment-customer-to-merchant ,100,90,66,125,8.59,0.000%,1.74131,0.61,1.21,355.9
GET commission-listing,100,81,57,369,30.59,0.000%,1.74280,7.02,1.09,4124.0
POST commission-create,100,81,66,158,13.11,0.000%,1.74410,0.85,1.31,497.0
POST admin-create-virtual-money,100,71,60,140,11.77,0.000%,1.74547,0.60,1.22,353.0
GET system-virtual-balance,100,62,51,97,10.21,0.000%,1.74727,0.56,1.06,328.0
TOTAL,1700,111,0,1090,124.80,0.059%,27.91186,37.10,15.97,1361.1
